CX;811;Cathay Pacific;HKG;Hong Kong;1:30 AM;false
AA;8891;American Airlines;HKG;Hong Kong;1:30 AM;true
AA;1682;American Airlines;CLT;Charlotte;5:00 AM;false
NK;103;Spirit Airlines;MYR;Myrtle Beach;5:00 AM;false
AA;1491;American Airlines;PHL;Philadelphia;5:00 AM;false
AA;2454;American Airlines;MIA;Miami;5:00 AM;false
JJ;2053;LATAM Airlines Brasil;MIA;Miami;5:00 AM;true
LA;8690;LATAM Airlines;MIA;Miami;5:00 AM;true
WN;4556;Southwest Airlines;MDW;Chicago;5:25 AM;false
5X;9820;UPS;BDL;Hartford;5:30 AM;false
WN;2223;Southwest Airlines;BWI;Baltimore;5:30 AM;false
DL;2079;Delta Air Lines;DTW;Detroit;5:35 AM;false
VS;3091;Virgin Atlantic;DTW;Detroit;5:35 AM;true
B6;917;JetBlue Airways;JFK;New York;5:40 AM;false
UA;1078;United Airlines;EWR;Newark;5:45 AM;false
CM;1963;Copa Airlines;EWR;Newark;5:45 AM;true
UA;389;United Airlines;IAD;Dulles;5:50 AM;false
AV;2023;AVIANCA;IAD;Dulles;5:50 AM;true
CM;8133;Copa Airlines;IAD;Dulles;5:50 AM;true
ET;1357;Ethiopian Airlines;IAD;Dulles;5:50 AM;true
NH;7101;ANA;IAD;Dulles;5:50 AM;true
AC;7677;Air Canada;YYZ;Toronto;5:50 AM;false
DL;900;Delta Air Lines;ATL;Atlanta;5:55 AM;false
AM;5599;Aeromexico;ATL;Atlanta;5:55 AM;true
VS;4253;Virgin Atlantic;ATL;Atlanta;5:55 AM;true
DL;6282;Delta Air Lines;RDU;Raleigh/Durham;6:04 AM;false
VS;4277;Virgin Atlantic;RDU;Raleigh/Durham;6:04 AM;true
UA;203;United Airlines;ORD;Chicago;6:05 AM;false
NH;7479;ANA;ORD;Chicago;6:05 AM;true
WN;3009;Southwest Airlines;BWI;Baltimore;6:05 AM;false
B6;51;JetBlue Airways;MCO;Orlando;6:05 AM;false
WN;203;Southwest Airlines;ATL;Atlanta;6:05 AM;false
B6;1481;JetBlue Airways;RIC;Richmond;6:10 AM;false
B6;1600;JetBlue Airways;DCA;Washington;6:10 AM;false
B6;2279;JetBlue Airways;EWR;Newark;6:15 AM;false
B6;2283;JetBlue Airways;RDU;Raleigh/Durham;6:15 AM;false
